_id,category,url,name,path
47fa2771014b5234b21af8bed2fa9f1e873f8a61,Black & White,https://plus.unsplash.com/premium_photo-1685656440548-d8cad874d5d8?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDZ8V2RDaHFsc0pOOWN8fGVufDB8fHx8fA%3D%3D,a black and white photo of a diamond pattern,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\a black and white photo of a diamond pattern-47fa2771014b5234b21af8bed2fa9f1e873f8a61.jpg
8d11670822edfcef1ad9999d9b53130fd05b5350,Black & White,https://images.unsplash.com/photo-1712124089735-fc199536d3bd?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDF8V2RDaHFsc0pOOWN8fGVufDB8fHx8fA%3D%3D,a black and white photo of a canal with boats,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\a black and white photo of a canal with boats-8d11670822edfcef1ad9999d9b53130fd05b5350.jpg
a26b37f308e4aa77abdd77dbfca9ed06b84d68f4,Black & White,https://images.unsplash.com/photo-1577972191000-eecb8ab851a2?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDJ8V2RDaHFsc0pOOWN8fGVufDB8fHx8fA%3D%3D,a black and white photo of a curved wall,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\a black and white photo of a curved wall-a26b37f308e4aa77abdd77dbfca9ed06b84d68f4.jpg
9ca73015d085580dc462b5fbfc5cfc12ceeb1df6,Black & White,https://images.unsplash.com/photo-1665101086956-70055ce92b7d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDN8V2RDaHFsc0pOOWN8fGVufDB8fHx8fA%3D%3D,a black and white image of a building,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\a black and white image of a building-9ca73015d085580dc462b5fbfc5cfc12ceeb1df6.jpg
31747be9e0c2ed32d47681749af2933cb5a446c6,Sports,https://plus.unsplash.com/premium_photo-1663126411734-78e1905d106c?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDEwfEJuLURqcmNCcndvfHxlbnwwfHx8fHw%3D,"Two mountain bikers standing on road outdoors in winter, resting.","C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\Two mountain bikers standing on road outdoors in winter, resting.-31747be9e0c2ed32d47681749af2933cb5a446c6.jpg"
b8442db642a99deec57326a89c48549b3c296982,Sports,https://plus.unsplash.com/premium_photo-1663127274348-1bea3d4e7756?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDE1fEJuLURqcmNCcndvfHxlbnwwfHx8fHw%3D,Athlete woman is running during winter training outside in cold snow weather.,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\Athlete woman is running during winter training outside in cold snow weather.-b8442db642a99deec57326a89c48549b3c296982.jpg
2f9fda043a57dec109e0a55729d4184e68825c90,Sports,https://plus.unsplash.com/premium_photo-1661895120180-827fa79656af?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDEyfEJuLURqcmNCcndvfHxlbnwwfHx8fHw%3D,a woman climbing up the side of a mountain,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\a woman climbing up the side of a mountain-2f9fda043a57dec109e0a55729d4184e68825c90.jpg
f9825aea4bb153de128fb0cb5e1a8ac8a1edacbe,Black & White,https://images.unsplash.com/photo-1709611112188-56233ab838eb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDR8V2RDaHFsc0pOOWN8fGVufDB8fHx8fA%3D%3D,a black and white photo of a man walking down a street,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\a black and white photo of a man walking down a street-f9825aea4bb153de128fb0cb5e1a8ac8a1edacbe.jpg
5e2a2add14424dc8cbf4bb18b63bf72cbca32bc6,Black & White,https://images.unsplash.com/photo-1707665501060-09508c34a85c?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDV8V2RDaHFsc0pOOWN8fGVufDB8fHx8fA%3D%3D,a black and white photo of a flower,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\a black and white photo of a flower-5e2a2add14424dc8cbf4bb18b63bf72cbca32bc6.jpg
01c1b55f4a45c13846f94079dd0d2ada1ebdf702,Sports,https://plus.unsplash.com/premium_photo-1663090614032-1ab5341685cb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHx0b3BpYy1mZWVkfDE3fEJuLURqcmNCcndvfHxlbnwwfHx8fHw%3D,A group of young mountain bikers riding on road outdoors in winter.,C:\Users\uc201\Desktop\GB\HW\Data-Collection-and-Markup\seminar_6\images\A group of young mountain bikers riding on road outdoors in winter.-01c1b55f4a45c13846f94079dd0d2ada1ebdf702.jpg
