_id,name,price,brend,url,country,capacity,voltage
6613436589314a54f728e70d,"Аккумулятор SF 1207, 7Ач, аккумуляторная батарея 12В",758,Security Force,https://www.wildberries.ru/catalog/40724205/detail.aspx,Китай,7,12
6613436589314a54f728e70e,Аккумулятор 12v 7ah акб agm 1207,1097,SKAT,https://www.wildberries.ru/catalog/149737382/detail.aspx,Китай,7,12
6613436589314a54f728e70f,Аккумулятор Yellow VL 12-7.5 для детского электромобиля 12v,1643,YELLOW,https://www.wildberries.ru/catalog/161312115/detail.aspx,Китай,7.5,12
6613436589314a54f728e710,Аккумулятор для ибп 12v 7 Ah F1/T1 осветительных приборов,959,Thomas,https://www.wildberries.ru/catalog/194125712/detail.aspx,Китай,7,12
6613436589314a54f728e711,Аккумулятор 12в 7ач GP-S 12-7,1179,ЭТК Энергия,https://www.wildberries.ru/catalog/216797039/detail.aspx,Китай,7,12
6613436589314a54f728e712,Аккумулятор для ибп 12v 9 Ah F2/T2 на бесперебойник для дома,1486,NPP,https://www.wildberries.ru/catalog/166716192/detail.aspx,Китай,9,12
6613436589314a54f728e713,"Аккумулятор для ибп 12v 18 Ah M5/T3 видеонаблюдения, котлов",2215,Thomas,https://www.wildberries.ru/catalog/170875219/detail.aspx,Китай,18,12
6613436589314a54f728e714,"Аккумулятор для ибп 12v 9Ah F2/T2 эхолотов, игрушечных машин",1130,Thomas,https://www.wildberries.ru/catalog/180404779/detail.aspx,Китай,9,12
6613436589314a54f728e715,Аккумулятор 12v 7 Ah F1/T1 для пожарной сигнализации,832,Thomas,https://www.wildberries.ru/catalog/166716196/detail.aspx,Китай,7,12
6613436589314a54f728e716,Аккумуляторная батарея AGM 12V 7Ah 1270 для ИБП и др,1084,Neata Battery,https://www.wildberries.ru/catalog/188514941/detail.aspx,Китай,7,12
6613436589314a54f728e717,Аккумулятор для ибп 12v 18Ah M5/T12 котла и насоса отопления,3123,ZUBR,https://www.wildberries.ru/catalog/166716202/detail.aspx,Китай,18,12
6613436589314a54f728e718,"Аккумулятор для ибп 12v 12Ah F2/T2 на бесперебойник, эхолот",1992,NPP,https://www.wildberries.ru/catalog/180404776/detail.aspx,Китай,12,12
6613436589314a54f728e719,Аккумулятор 1270/security 12V 7Ah,763,GoPower,https://www.wildberries.ru/catalog/90131066/detail.aspx,Китай,7,12
6613436589314a54f728e71a,Аккумулятор LA-1270 12V 7Ah,841,GoPower,https://www.wildberries.ru/catalog/90178459/detail.aspx,Китай,7,12
6613436589314a54f728e71b,"Аккумулятор для ибп 12v 7,2Ah F2/T2 детской машины, эхолота",1403,ZUBR,https://www.wildberries.ru/catalog/196206785/detail.aspx,Китай,7.2,12
6613436589314a54f728e71c,Аккумулятор для ибп 12v 7 Ah F1/T1 радиоуправляемой машинки,1170,NPP,https://www.wildberries.ru/catalog/166716209/detail.aspx,Китай,7,12
6613436589314a54f728e71d,Аккумулятор ALFA FB 7.2-12 12V 7 Ah 12В 7.2Ач,766,Alfa Battery,https://www.wildberries.ru/catalog/139044381/detail.aspx,Китай,7.2,12
6613436589314a54f728e71e,"Аккумулятор для ибп 12v 12Ah F2/T2 насосов, электропастухов",2276,ZUBR,https://www.wildberries.ru/catalog/168341682/detail.aspx,Китай,12,12
6613436589314a54f728e71f,"Аккумулятор для ибп 12v 9 Ah F2/T2 весов, фонаря, насоса",1498,ZUBR,https://www.wildberries.ru/catalog/194125738/detail.aspx,Китай,9,12
6613436589314a54f728e720,"Аккумулятор для ибп 12v 12 Ah F2/T2 эхолота, фонаря, весов",1553,Thomas,https://www.wildberries.ru/catalog/170875218/detail.aspx,Китай,12,12
6613436589314a54f728e721,Аккумулятор ибп 12v 40Ah M6/T14 котлов и насосов отопления,4260,Thomas,https://www.wildberries.ru/catalog/168341680/detail.aspx,Китай,40,12
6613436589314a54f728e722,Аккумулятор 12v 18 Ah M5/T3 для охранных пожарных систем,2013,Thomas,https://www.wildberries.ru/catalog/170875220/detail.aspx,Китай,18,12
6613436589314a54f728e723,"Аккумулятор ибп 12v 7.5 Ah F2/T2 детской машинки, мотоцикла",1240,NPP,https://www.wildberries.ru/catalog/166716200/detail.aspx,Китай,7.5,12
6613436589314a54f728e724,"Аккумулятор для ибп 12v 18 Ah M5/T3 котла, весов, компьютера",2805,NPP,https://www.wildberries.ru/catalog/194125701/detail.aspx,Китай,18,12
6613436589314a54f728e725,"Аккумулятор 12v 1.3 Ah F1/T1 для эхолота, весов, игрушек",641,NPP,https://www.wildberries.ru/catalog/166716189/detail.aspx,Китай,1.3,12
6613436589314a54f728e726,"Аккумулятор для ибп 12v 9 Ah F2/T2 весов, фонаря, насоса",1528,ZUBR,https://www.wildberries.ru/catalog/166716205/detail.aspx,Китай,9,12
6613436589314a54f728e727,"Аккумулятор для ибп 12v 4.5Ah F2/T2 детской машины, фонарика",974,NPP,https://www.wildberries.ru/catalog/168341675/detail.aspx,Китай,4.5,12
6613436589314a54f728e728,Аккумулятор LA-1290 12V 9Ah,1353,GoPower,https://www.wildberries.ru/catalog/90178129/detail.aspx,Китай,9,12
6613436589314a54f728e729,Аккумулятор Delta DTM 1207 (12V / 7Ah),1810,DELTA BATTERY,https://www.wildberries.ru/catalog/104603912/detail.aspx,Китай,72,12
6613436589314a54f728e72a,"Аккумулятор для ибп 12v 6 Ah F2/T2 игрушечной машины, весов",1238,ZUBR,https://www.wildberries.ru/catalog/166716212/detail.aspx,Китай,6,12
6613436589314a54f728e72b,"Аккумулятор для ибп 12v 7.2 Ah F2/T2 инкубатора, эхолота",1512,ZUBR,https://www.wildberries.ru/catalog/166716187/detail.aspx,Китай,7.2,12
6613436589314a54f728e72c,"Аккумулятор 6v 2,8 Ah F1/T1 для кассы, фонаря, весов",792,NPP,https://www.wildberries.ru/catalog/170875213/detail.aspx,Китай,2.8,6
6613436589314a54f728e72d,Аккумуляторная батарея SVC AV9-12/S 12В 9 Ач,1865,SVC,https://www.wildberries.ru/catalog/170867415/detail.aspx,,9,12
6613436589314a54f728e72e,Аккумуляторная батарея AGM 12V 55Ah 1255 для ИБП и др,9244,Neata Battery,https://www.wildberries.ru/catalog/172398520/detail.aspx,Китай,55,12
6613436589314a54f728e72f,"Аккумулятор для ибп 12v 9Ah F2/T2 эхолотов, игрушечных машин",1106,Thomas,https://www.wildberries.ru/catalog/194125720/detail.aspx,Китай,9,12
